Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,Company Name,Size,Focus,CEO/Founders/Affliation,Location
,LightMatter,200,Optical MVM / PNN,"Nick Harris, Dirk Englund, David Miller, MIT, Stanford","Mountain View, CA and Toronto, Canada, and Boston, MA"
,Lightelligence,200,Optical MVM / Networking,"Yichen Shen, MIT ","Boston, MA"
,Ayar Labs,200+,"Optical I/O for AI, Interconnection ",Mark Wade,"San Jose, CA"
,PsiQuantum,280,Quantum Computing / Optical Interconnect,Jeremy O'Brien; Terry Rudolph; Peter Shadbolt; Mark Thompson,"Palo Alto, CA"
,Quantum Transistors,50,solid-state quantum processor,Shmuel Bachinsky,"Tel Aviv, Israel and NYC, US"
,Q.ANT,100,Optical MVM,"Michael Förtsch, TRUMPF Photonics","Stuttgart, Germany"
,Lumai ,20,3D optical AI computing ,"James Spall, University of Oxford","Oxford, England"
,iPRONICS,< 50,Microwave Photonics and Networking,Jose Capmany,"Valencia, Spain"
,Salience Labs,< 50,silicon photonic solutions that will solve the challenge the growth in AI,"Oxford, Harish Bhaskaran and Wolfram Pernice","Oxford, England"
,Pixel Photonics,< 50,Superconducting Nanowire Single Photon Detectors (SNSPD) and Quantum Computing,Wolfram Pernice,Germany
,Dream Photonics ,10,Packaging and Layout Design; world’s best chipsets for integrated photonics,Lukas Chrostowski,"Vancouver, BC, Canada"
,Akhetonics,< 50,"Neuromorphic, Quantum, Analog, Digital, ADC","Michael Kissner, 
Leonardo Del Bino","Berlin, Germany"
,Celestial AI,< 200,Photonic Fabric (Networking for AI),David Lazovsky,"Santa Clara, CA, USA"
,Xscape Photonics,< 50,"photonics solutions that enable the next generation of AI, ML, and simulation hardware.","Vivek Raghunathan, Michal Lipson, Keren Bergman, Columbia","New York, NY, USA"
,Optelligence,< 3,Photonic AI ,Volker J. Sorger,"Austin, USA"
,Nubis Communications,< 50 ,"Co-Packaged Optics, Pluggable Transceivers, Active Optical Cables","Peter Winzer, Bell Labs","Murray Hill, New Jersey, USA"
